partition_alpha,batch_size,lr,wd,epochs,client_num_in_total,cut_layer,num_ln,agg_type,ln_upscale,random_seed,db_id
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 0.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 1.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 2.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 3.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 4.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 5.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 6.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 7.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 8.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 3.0, 9.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 0.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 1.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 2.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 3.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 4.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 5.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 6.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 7.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 8.0
8.70602087830485, 128.0, 0.017718847354806812, 1.2087541473056954e-06, 15.0, 6.0, 5.0, 6.0, 1.0, 2.0, 4.0, 9.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 0.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 1.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 2.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 3.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 4.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 5.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 6.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 7.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 8.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 0.0, 9.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 0.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 1.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 2.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 3.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 4.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 5.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 6.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 7.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 8.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 1.0, 9.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 0.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 1.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 2.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 3.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 4.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 5.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 6.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 7.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 8.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 2.0, 9.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 0.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 1.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 2.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 3.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 4.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 5.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 6.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 7.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 8.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 3.0, 9.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 0.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 1.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 2.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 3.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 4.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 5.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 6.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 7.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 8.0
0.730953983591291, 64.0, 6.6904211664988e-05, 0.00012561043700013555, 15.0, 10.0, 2.0, 7.0, 0.0, 3.0, 4.0, 9.0
5.246634533625283, 32.0, 0.7932047656808554, 7.362945281639214e-05, 15.0, 9.0, 4.0, 6.0, 0.0, 3.0, 0.0, 0.0
5.246634533625283, 32.0, 0.7932047656808554, 7.362945281639214e-05, 15.0, 9.0, 4.0, 6.0, 0.0, 3.0, 0.0, 1.0
5.246634533625283, 32.0, 0.7932047656808554, 7.362945281639214e-05, 15.0, 9.0, 4.0, 6.0, 0.0, 3.0, 0.0, 2.0
5.246634533625283, 32.0, 0.7932047656808554, 7.362945281639214e-05, 15.0, 9.0, 4.0, 6.0, 0.0, 3.0, 0.0, 3.0
